type,actor_name,message_type_or_count,value
LATENCY,dataShard-0,ReadyToProcess,16
LATENCY,dataShard-2,ReadyToProcess,43
LATENCY,dataShard-3,ReadyToProcess,13
LATENCY,dataShard-4,ReadyToProcess,58
LATENCY,dataShard-1,ReadyToProcess,17
LOAD,dataShard-1,COUNT,1
LOAD,dataShard-2,COUNT,1
LOAD,dataShard-4,COUNT,1
LOAD,dataShard-0,COUNT,1
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,4998
LOAD,ParameterShardActor,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,862
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,1704
LATENCY,dataShard-1,ParameterReceived,576
LOAD,dataShard-4,COUNT,1
LOAD,dataShard-1,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1674
LOAD,ParameterShardActor,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1245
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,233
LOAD,dataShard-2,COUNT,1
LATENCY,dataShard-3,ParameterReceived,688
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1441
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,156
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,429218
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,429702
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,429243
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,430108
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,430669
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,19787
LATENCY,latent-dataShard-4,Reparametize,19911
LATENCY,latent-dataShard-0,Reparametize,19879
LOAD,latent-dataShard-0,COUNT,1
LOAD,latent-dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,20137
LOAD,latent-dataShard-4,COUNT,1
LOAD,latent-dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,20494
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,Decode,2172
LATENCY,decoder-dataShard-3,Decode,2738
LATENCY,decoder-dataShard-0,Decode,2907
LATENCY,decoder-dataShard-4,Decode,2705
LOAD,decoder-dataShard-4,COUNT,1
LOAD,decoder-dataShard-0,COUNT,1
LOAD,decoder-dataShard-3,COUNT,1
